"","A_ID","B_ID","Rel_start_time_YEARS"
"97784",180,8797,40.0002739726027
"97785",3417,6581,40.0002739726027
"97786",3776,11953,40.0002739726027
"97787",3939,9893,40.0002739726027
"97788",5573,8540,40.0002739726027
"97789",6015,8580,40.0002739726027
"97790",6109,9436,40.0002739726027
"97791",6223,10377,40.0002739726027
"97792",8204,10222,40.0002739726027
"97793",9879,9390,40.0002739726027
"97794",10187,11552,40.0002739726027
"97795",10272,9630,40.0002739726027
"97796",10315,14206,40.0002739726027
"97797",10342,12270,40.0002739726027
"97798",10665,11122,40.0002739726027
"97799",10666,12169,40.0002739726027
"97800",10687,10963,40.0002739726027
"97801",10826,12810,40.0002739726027
"97802",10898,10339,40.0002739726027
"97803",10943,12284,40.0002739726027
"97804",11125,10802,40.0002739726027
"97805",11291,11990,40.0002739726027
"97806",11475,12430,40.0002739726027
"97807",11654,10527,40.0002739726027
"97808",11719,13864,40.0002739726027
"97809",11935,10339,40.0002739726027
"97810",12213,9512,40.0002739726027
"97811",12410,13807,40.0002739726027
"97812",12605,14358,40.0002739726027
"97813",1877,4562,40.0002739726027
"97814",2530,6986,40.0002739726027
"97815",6059,8406,40.0002739726027
"97816",7799,11058,40.0002739726027
"97817",8173,14367,40.0002739726027
"97818",8178,10417,40.0002739726027
"97819",8337,13285,40.0002739726027
"97820",8407,10941,40.0002739726027
"97821",8731,10854,40.0002739726027
"97822",8818,12355,40.0002739726027
"97823",9039,13386,40.0002739726027
"97824",9194,10444,40.0002739726027
"97825",9219,10941,40.0002739726027
"97826",595,3960,40.0002739726027
"97827",1069,4199,40.0002739726027
"97828",1257,2171,40.0002739726027
"97829",1467,6712,40.0002739726027
"97830",6383,8222,40.0002739726027
"97831",417,7628,40.0002739726027
"97832",493,318,40.0002739726027
"97833",961,5309,40.0002739726027
"97834",2047,5930,40.0002739726027
"97835",2576,8953,40.0002739726027
"97836",3281,4261,40.0002739726027
"97837",5353,7301,40.0002739726027
"97838",5804,8326,40.0002739726027
"97839",5899,9094,40.0002739726027
"97840",6055,9694,40.0002739726027
"97841",6116,6774,40.0002739726027
"97842",6122,10659,40.0002739726027
"97843",6301,6173,40.0002739726027
"97844",6624,11000,40.0002739726027
"97845",6668,7954,40.0002739726027
"97846",6732,7865,40.0002739726027
"97847",6784,10189,40.0002739726027
"97848",6798,7866,40.0002739726027
"97849",6902,9453,40.0002739726027
"97850",7048,11031,40.0002739726027
"97851",7815,8333,40.0002739726027
"97852",7847,9780,40.0002739726027
"97853",8023,10320,40.0002739726027
"97854",8097,10299,40.0002739726027
"97855",8376,11141,40.0002739726027
"97856",8379,9529,40.0002739726027
"97857",8423,11736,40.0002739726027
"97858",8658,10139,40.0002739726027
"97859",8676,10264,40.0002739726027
"97860",8886,10656,40.0002739726027
"97861",8957,12701,40.0002739726027
"97862",9075,11706,40.0002739726027
"97863",9215,10235,40.0002739726027
"97864",9352,12181,40.0002739726027
"97865",9461,11069,40.0002739726027
"97866",9562,13535,40.0002739726027
"97867",9886,7841,40.0002739726027
"97868",10041,11796,40.0002739726027
"97869",10127,10792,40.0002739726027
"97870",10226,10311,40.0002739726027
"97871",10267,11722,40.0002739726027
"97872",10406,11431,40.0002739726027
"97873",10855,11901,40.0002739726027
"97874",10960,10650,40.0002739726027
"97875",11237,12522,40.0002739726027
"97876",11258,13805,40.0002739726027
"97877",11808,10738,40.0002739726027
"97878",12311,12540,40.0002739726027
"97879",12438,11278,40.0002739726027
"97880",12500,12200,40.0002739726027
"97881",12620,10357,40.0002739726027
"97882",5693,13211,40.0002739726027
"97883",7333,7244,40.0002739726027
"97884",9211,11121,40.0002739726027
"97885",10406,7244,40.0002739726027
"97886",10406,13211,40.0002739726027
"97887",10406,5930,40.0002739726027
"97888",10593,13211,40.0002739726027
"97889",1002,11162,40.0002739726027
"97890",1002,10237,40.0002739726027
"97891",1002,8309,40.0002739726027
"97892",1002,5930,40.0002739726027
"97893",1738,11121,40.0002739726027
"97894",2127,7244,40.0002739726027
"97895",2127,9158,40.0002739726027
"97896",2127,10567,40.0002739726027
"97897",2127,10714,40.0002739726027
"97898",2127,9906,40.0002739726027
"97899",3147,10567,40.0002739726027
"97900",3147,12739,40.0002739726027
"97901",3147,11162,40.0002739726027
"97902",3147,12624,40.0002739726027
"97903",5336,8309,40.0002739726027
"97904",5336,8661,40.0002739726027
"97905",5336,10020,40.0002739726027
"97906",5336,11121,40.0002739726027
"97907",5336,12600,40.0002739726027
"97908",5693,11990,40.0002739726027
"97909",5693,9464,40.0002739726027
"97910",5693,12739,40.0002739726027
"97911",5966,8309,40.0002739726027
"97912",6055,8333,40.0002739726027
"97913",6059,12600,40.0002739726027
"97914",6059,7244,40.0002739726027
"97915",6059,5479,40.0002739726027
"97916",6059,8458,40.0002739726027
"97917",6059,7853,40.0002739726027
"97918",6059,484,40.0002739726027
"97919",6091,9265,40.0002739726027
"97920",6091,5479,40.0002739726027
"97921",6091,12624,40.0002739726027
"97922",6091,12810,40.0002739726027
"97923",6091,8458,40.0002739726027
"97924",6223,11121,40.0002739726027
"97925",6223,11843,40.0002739726027
"97926",6223,10714,40.0002739726027
"97927",6383,11117,40.0002739726027
"97928",6383,10020,40.0002739726027
"97929",6383,9464,40.0002739726027
"97930",6383,13285,40.0002739726027
"97931",6383,9512,40.0002739726027
"97932",6383,9265,40.0002739726027
"97933",6493,2716,40.0002739726027
"97934",6493,9512,40.0002739726027
"97935",6493,10020,40.0002739726027
"97936",6534,12600,40.0002739726027
"97937",6534,350,40.0002739726027
"97938",6534,8458,40.0002739726027
"97939",6534,9364,40.0002739726027
"97940",6534,10237,40.0002739726027
"97941",7106,7853,40.0002739726027
"97942",7106,11990,40.0002739726027
"97943",7106,9512,40.0002739726027
"97944",7106,8458,40.0002739726027
"97945",7106,12739,40.0002739726027
"97946",7106,9436,40.0002739726027
"97947",7106,9630,40.0002739726027
"97948",7333,10714,40.0002739726027
"97949",7333,10472,40.0002739726027
"97950",7340,13629,40.0002739726027
"97951",7340,5479,40.0002739726027
"97952",7450,8583,40.0002739726027
"97953",7450,9158,40.0002739726027
"97954",7450,10987,40.0002739726027
"97955",7450,10714,40.0002739726027
"97956",7450,10567,40.0002739726027
"97957",7450,7453,40.0002739726027
"97958",7450,11990,40.0002739726027
"97959",7815,11121,40.0002739726027
"97960",7815,9464,40.0002739726027
"97961",7815,9529,40.0002739726027
"97962",7815,10987,40.0002739726027
"97963",7815,7853,40.0002739726027
"97964",8044,11117,40.0002739726027
"97965",8044,10020,40.0002739726027
"97966",8044,7853,40.0002739726027
"97967",8044,5479,40.0002739726027
"97968",8084,11121,40.0002739726027
"97969",8084,10567,40.0002739726027
"97970",8118,12810,40.0002739726027
"97971",8118,7853,40.0002739726027
"97972",8118,10567,40.0002739726027
"97973",8118,484,40.0002739726027
"97974",8118,6593,40.0002739726027
"97975",8178,9512,40.0002739726027
"97976",8178,484,40.0002739726027
"97977",8204,8309,40.0002739726027
"97978",8204,13285,40.0002739726027
"97979",8632,9364,40.0002739726027
"97980",8632,2716,40.0002739726027
"97981",8632,12600,40.0002739726027
"97982",8676,11162,40.0002739726027
"97983",8676,10987,40.0002739726027
"97984",8820,11121,40.0002739726027
"97985",8820,2716,40.0002739726027
"97986",8820,10020,40.0002739726027
"97987",8820,8309,40.0002739726027
"97988",9141,10237,40.0002739726027
"97989",9141,13629,40.0002739726027
"97990",9141,7244,40.0002739726027
"97991",9211,8661,40.0002739726027
"97992",9211,8583,40.0002739726027
"97993",9211,9529,40.0002739726027
"97994",9211,9265,40.0002739726027
"97995",9211,9630,40.0002739726027
"97996",9220,13020,40.0002739726027
"97997",9220,10472,40.0002739726027
"97998",9352,8583,40.0002739726027
"97999",9352,9436,40.0002739726027
"98000",9352,10567,40.0002739726027
"98001",9352,9630,40.0002739726027
"98002",9352,11121,40.0002739726027
"98003",9352,10237,40.0002739726027
"98004",9439,12739,40.0002739726027
"98005",9439,11121,40.0002739726027
"98006",9439,8309,40.0002739726027
"98007",9523,8458,40.0002739726027
"98008",9523,10237,40.0002739726027
"98009",9523,6593,40.0002739726027
"98010",9678,8458,40.0002739726027
"98011",9678,9906,40.0002739726027
"98012",9678,10020,40.0002739726027
"98013",9678,11162,40.0002739726027
"98014",9975,9529,40.0002739726027
"98015",9975,8333,40.0002739726027
"98016",9975,7244,40.0002739726027
"98017",9975,10987,40.0002739726027
"98018",10127,350,40.0002739726027
"98019",10127,5930,40.0002739726027
"98020",10332,8309,40.0002739726027
"98021",10332,13286,40.0002739726027
"98022",10332,13285,40.0002739726027
"98023",10356,13286,40.0002739726027
"98024",10356,5479,40.0002739726027
"98025",10459,7244,40.0002739726027
"98026",10459,13285,40.0002739726027
"98027",10459,12624,40.0002739726027
"98028",10593,8661,40.0002739726027
"98029",10593,12217,40.0002739726027
"98030",10593,350,40.0002739726027
"98031",10593,2716,40.0002739726027
"98032",10652,6593,40.0002739726027
"98033",10777,12810,40.0002739726027
"98034",10777,10714,40.0002739726027
"98035",10777,10237,40.0002739726027
"98036",10826,10987,40.0002739726027
"98037",10864,2716,40.0002739726027
"98038",10864,350,40.0002739726027
"98039",10864,12810,40.0002739726027
"98040",10864,6593,40.0002739726027
"98041",10864,8309,40.0002739726027
"98042",10864,9158,40.0002739726027
"98043",10864,13211,40.0002739726027
"98044",10990,12810,40.0002739726027
"98045",10990,11843,40.0002739726027
"98046",10990,11990,40.0002739726027
"98047",10990,11121,40.0002739726027
"98048",11201,7453,40.0002739726027
"98049",11201,10567,40.0002739726027
"98050",11206,8458,40.0002739726027
"98051",11206,350,40.0002739726027
"98052",11206,9265,40.0002739726027
"98053",11206,10714,40.0002739726027
